category,message
spam,"Congratulations! You've won a $1000 gift card. Click here to claim."
ham,"Reminder: Your appointment is scheduled for tomorrow at 10 AM."
spam,"URGENT: Your account has been compromised. Reset your password now!"
ham,"Join us for a webinar on cybersecurity best practices."
spam,"Limited-time offer! Buy one, get one free on all products."
ham,"Hello, just checking in to see how you're doing."
spam,"Don't miss out on our biggest sale of the year!"
ham,"Can we schedule a meeting for next week?"
spam,"Win a brand new iPhone! Enter the contest now."
ham,"Your package has been shipped. Track it here."
spam,"You are the lucky winner of a free vacation! Claim your reward now."
ham,"Meeting is scheduled for 3 PM. Please be on time."
spam,"Exclusive deal just for you! 50% off on all items."
ham,"Hope you are having a great day!"
spam,"Earn $500 daily from home. Sign up now!"
ham,"Your subscription has been renewed successfully."
spam,"Get rich quick! Invest in this once-in-a-lifetime opportunity!"
ham,"Family dinner is planned for this weekend."
spam,"Claim your free cryptocurrency before it expires!"
ham,"See you at the gym tomorrow morning."
spam,"Congratulations! You have been selected for a free iPad."
ham,"The project deadline has been extended."
spam,"Special promotion! Buy two, get one free."
ham,"Can you send me the presentation slides?"
spam,"Your PayPal account is on hold. Verify immediately!"
ham,"The weather is great for a picnic today."
spam,"This is not a drill! Urgent security alert for your email account."
ham,"Let's catch up this weekend!"
spam,"You just received a $200 shopping voucher!"
ham,"Lunch at 1 PM today?"
spam,"Mega sale starts now! Up to 90% off."
ham,"Hope you’re doing well. Let’s talk soon."
spam,"Final notice: Your car warranty is expiring!"
ham,"Reminder: Submit your assignment by Friday."
spam,"You have unclaimed lottery winnings! Collect now."
ham,"Looking forward to our meeting later."
spam,"Work from home and earn $10,000 monthly!"
ham,"Dinner reservation confirmed for 8 PM."
spam,"Click here to unlock unlimited streaming access!"
ham,"Check out this interesting article I found."
spam,"Your loan application has been approved! Call now."
ham,"Meeting rescheduled to 2 PM."
spam,"Hot singles are waiting for you! Join now."
ham,"Can you review my report and provide feedback?"
spam,"Hurry! Your exclusive discount code expires soon."
ham,"Thank you for your payment. Your order is being processed."
spam,"You have pending refunds! Claim now."
ham,"Reminder: Doctor's appointment at 5 PM."
spam,"This software can help you make money fast!"
ham,"Are you available for a quick call?"
spam,"Get a free trial of our weight loss program!"
ham,"Happy Birthday! Wishing you a fantastic year ahead."
spam,"Upgrade your phone today with our best deals!"
ham,"Your package is out for delivery."
spam,"Earn extra cash by taking surveys online."
ham,"Just a friendly reminder to pay your electricity bill."
spam,"Act now! Your account will be suspended in 24 hours!"
ham,"Looking forward to the weekend getaway!"
spam,"Your credit card has been charged. Contact us for a refund!"
ham,"I’ll be at the airport at 6 PM."
spam,"Huge giveaway! Enter now to win amazing prizes."
ham,"The concert tickets are selling out fast!"
spam,"Your Netflix account has been compromised. Reset password now!"
ham,"Good luck on your job interview today!"
spam,"Massive Bitcoin surge! Invest now before it’s too late."
ham,"Meeting with the client has been confirmed."
spam,"Flash sale on premium gadgets! Limited stock."
ham,"Please find the attached report for your review."
spam,"Warning! Unusual activity detected on your bank account."
ham,"Traffic is heavy on the way to office. Leave early."
spam,"Congratulations! You've unlocked a secret reward. Click here."
ham,"How was your weekend? Let's catch up soon."
